typeStatus,catalogNumber,individualCount,preparations,taxonConceptID,scientificName,kingdom,phylum,family,waterBody,country,stateProvince,locality,maximumDepthInMeters,locationRemarks,decimal Lat,decimal Long,geodeticDatum,samplingProtocol,eventDate,eventTime,fieldNumber,fieldNotes,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21744,1,"specimen fixed in 4  formalin, stored in 80% IMS",Aphelochaeta sp. 5fB,Aphelochaeta sp. ,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),429,RRS Ernest Shackleton,-49.3585975,-59.1117606,WGS84,Box Corer,14/04/2012,17:12:00,44MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23521,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Aphelochaeta sp. 1,Aphelochaeta sp.,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Infexible oil well),1842,MV Ocean Endeavour,-53.516123,-59.122255,WGS84,Box Corer,27/03/2011,15:02,5MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23622,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Aphelochaeta sp. 1,Aphelochaeta sp.,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Vinson West oil well),1517,MV Ocean Endeavour,-52.602631,-55.989055,WGS84,Box Corer,04/03/2011,18:34,1MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.12712-12713,2,"specimen fixed in 4  formalin, stored in 80% IMS",Apistobranchus sp. 1,Apistobranchus sp.,Animalia,Annelida,Apistobranchidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),450,RRS Ernest Shackleton,-49.258443,-59.1251589,WGS84,Box Corer,19/03/2012,00:58:00,65MFC,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.17961-17970,10,"specimen fixed in 4  formalin, stored in 80% IMS",Aricidea (Acmira) assimilis,"Aricidea (Acmira) assimilis Tebble, 1959 ",Animalia,Annelida,Paraonidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),429,RRS Ernest Shackleton,-49.3585975,-59.1117606,WGS84,Box Corer,14/04/2012,17:12:00,44MFC,0.5mm mesh,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.18921-18930,14,"specimen fixed in 4  formalin, stored in 80% IMS",Aricidea (Acmira) assimilis,"Aricidea (Acmira) assimilis Tebble, 1959 ",Animalia,Annelida,Paraonidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),453,RRS Ernest Shackleton,-49.25000694,-59.0312639,WGS84,Box Corer,24/04/2012,00:29:00,12MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21743,1,"specimen fixed in 4  formalin, stored in 80% IMS",Aricidea (Acmira) simplex ,"Aricidea (Acmira) simplex  Day, 1963",Animalia,Annelida,Paraonidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),432,RRS Ernest Shackleton,-49.3585975,-59.1117606,WGS84,Box Corer,14/04/2012,16:00:00,44MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21765,1,"specimen fixed in 4  formalin, stored in 80% IMS",Aricidea (Aedicira) antarctica,"Aricidea (Aedicira) antarctica Hartmann-Schröder & Rosenfeldt, 1990 ",Animalia,Annelida,Paraonidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),458,RRS Ernest Shackleton,-49.25087639,-59.1411775,WGS84,Box Corer,24/04/2012,08:26:00,8MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.24552,1,"specimen fixed in 4  formalin, stored in 80% IMS",Aricidea (Aedicira) antarctica,"Aricidea (Aedicira) antarctica Hartmann-Schröder & Rosenfeldt, 1990 ",Animalia,Annelida,Paraonidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),434,RRS Ernest Shackleton,-49.34081778,-59.1396133,WGS84,Box Corer,23/04/2012,22:36:00,38MFC,0.5mm mesh,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.24623,1,"specimen fixed in 4  formalin, stored in 80% IMS",Aricidea (Aedicira) antarctica,"Aricidea (Aedicira) antarctica Hartmann-Schröder & Rosenfeldt, 1990 ",Animalia,Annelida,Paraonidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),442,RRS Ernest Shackleton,-49.34039472,-59.0845558,WGS84,Box Corer,23/04/2012,17:55:00,40MFC,0.5mm mesh,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.13386-13388,3,"specimen fixed in 4  formalin, stored in 80% IMS",Aricidea (Allia) cf. ramosa,"Aricidea (Allia) cf. ramosa Annenkova, 1934",Animalia,Annelida,Paraonidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),426,RRS Ernest Shackleton,-49.39435806,-59.0835533,WGS84,Box Corer,25/04/2012,18:11:00,54MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23507,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Aricidea (Allia) cf. antennata,"Aricidea (Allia) cf. antennata Annenkova, 1934",Animalia,Annelida,Paraonidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Infexible oil well),1809,MV Ocean Endeavour,-53.495223,-59.142571,WGS84,BSL Double Van Veen Grab,25/03/2011,23:48,1MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23594,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Aricidea pisanoi ,"Aricidea pisanoi Montiel and Hilbig, 2004",Animalia,Annelida,Paraonidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Vinson West oil well),1517,MV Ocean Endeavour,-52.600800,-56.010224,WGS84,Box Corer,04/03/2011,12:49,4MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23620,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Artacamella sp. 1,Artacamella sp.,Animalia,Annelida,Trichobranchidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Vinson West oil well),1517,MV Ocean Endeavour,-52.602631,-55.989055,WGS84,Box Corer,04/03/2011,18:34,1MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.24164,1,"specimen fixed in 4  formalin, stored in 80% IMS",Asclerocheilus sp. 1,"Asclerocheilus sp. Ashworth, 1901",Animalia,Annelida,Scalibregmatidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),443,RRS Ernest Shackleton,-49.28705444,-59.1680519,WGS84,Box Corer,17/04/2012,01:23:00,19MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23582,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Augeneria tentaculata,"Augeneria tentaculata Monro, 1930",Animalia,Annelida,Lumbrineridae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Vinson West oil well),1517,MV Ocean Endeavour,-52.602631,-55.989055,WGS84,Box Corer,04/03/2011,18:34,1MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23609,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Aurospio foodbancsia,Aurospio foodbancsia Mincks et al. 2009,Animalia,Annelida,Spionidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Vinson West oil well),1547,MV Ocean Endeavour,-52.614196,-55.959520,WGS84,Box Corer,04/03/2011,06:05,5MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
